instance,Kmin,BSFmin,Kmed,BSFmed,Kmax,BSFmax
scp41,2,1148,7,8352,11,18265,
scp42,2,1205,6,6111,9,12370,
scp43,2,1213,5,4676,8,10398,
scp44,2,1185,5,4670,8,10396,
scp45,2,1266,7,8392,11,18856,
scp46,2,1349,6,6416,10,15404,
scp47,2,1115,6,6281,10,15236,
scp48,2,1225,7,8427,11,18613,
scp49,2,1485,6,7101,10,16568,
scp410,2,1356,5,5355,8,11607,
scp51,2,579,13,11209,24,35716,
scp52,2,677,14,14428,26,45428,
scp53,2,574,13,11487,24,36368,
scp54,2,582,12,9950,21,28035,
scp55,2,550,12,10895,22,32802,
scp56,2,560,12,10591,21,29632,
scp57,2,695,14,14946,25,41954,
scp58,2,662,12,10623,22,32344,
scp59,2,687,12,11049,22,33608,
scp510,2,672,13,12450,24,38756,
scp61,2,283,17,7653,31,23510,
scp62,2,302,16,6739,29,19940,
scp63,2,313,18,8309,34,27983,
scp64,2,292,18,8546,33,26446,
scp65,2,353,18,9038,33,27069,
scpa1,2,562,21,21241,40,68590,
scpa2,2,560,21,21750,39,65922,
scpa3,2,524,21,20126,40,66891,
scpa4,2,527,22,22880,41,72398,
scpa5,2,557,20,18660,38,60539,
scpb1,2,149,61,29184,119,105560,
scpb2,2,150,60,28124,118,102941,
scpb3,2,165,59,27852,115,98347,
scpb4,2,157,58,25695,114,93800,
scpb5,2,151,60,28262,118,102867,
scpc1,2,514,30,32648,58,112565,
scpc2,2,483,31,32745,59,114012,
scpc3,2,544,31,34451,59,117501,
scpc4,2,484,30,31372,58,110938,
scpc5,2,488,29,30061,56,104518,
scpd1,2,122,82,38991,162,144961,
scpd2,2,127,83,39038,163,144138,
scpd3,2,138,81,39221,159,140589,
scpd4,2,122,82,38814,162,143488,
scpd5,2,130,83,40362,163,146342,
